"Server_IP","Client_IP","Server_port","Client_port"
"131.243.1.10","62.87.148.206","20553","21"
"131.243.1.10","62.87.148.206","20553","21"
"131.243.1.10","62.87.148.206","20553","21"
"131.243.1.10","62.87.148.206","20553","21"
"131.243.1.10","62.87.148.206","20553","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","127.115.69.174","54196","21"
"131.243.1.10","209.75.218.182","33006","21"
"131.243.1.10","209.75.218.182","33006","21"
"131.243.1.10","209.75.218.182","33006","21"
"131.243.1.10","209.75.218.182","33006","21"
"131.243.1.10","209.75.218.182","33006","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","84.68.192.198","1184","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","53.55.176.50","10011","21"
"131.243.1.10","168.29.177.209","4616","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","53.55.176.50","10137","21"
"131.243.1.10","53.55.176.50","10137","21"
"131.243.1.10","53.55.176.50","10137","21"
"131.243.1.10","53.55.176.50","10137","21"
"131.243.1.10","53.55.176.50","10138","21"
"131.243.1.10","53.55.176.50","10138","21"
"131.243.1.10","53.55.176.50","10138","21"
"131.243.1.10","53.55.176.50","10138","21"
"131.243.1.10","53.55.176.50","10138","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","216.43.247.103","42534","21"
"131.243.1.10","53.55.176.50","10137","21"
"131.243.1.10","53.55.176.50","10252","21"
"131.243.1.10","53.55.176.50","10252","21"
"131.243.1.10","53.55.176.50","10252","21"
"131.243.1.10","53.55.176.50","10252","21"
"131.243.1.10","53.55.176.50","10252","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10059","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
