"Client IP",Server IP",Data Sent","Data Recieved"
"192.232.226.84","131.243.1.10","7148","11517"
"193.248.9.31","131.243.1.10","1071","4239"
"194.28.213.86","131.243.1.10","1346","4608"
"195.232.210.35","131.243.2.12","7580","2308"
"196.227.5.254","131.243.1.10","3169","7097"
"197.105.135.7","131.243.2.12","16868","2282"
"197.113.3.99","128.3.20.245","6035","4900"
"197.217.232.215","131.243.1.10","2799","8384"
"197.62.236.228","128.3.12.44","795","972"
"197.99.103.162","131.243.1.10","1296","5021"
"199.235.232.245","131.243.1.10","953","3874"
"2.190.230.168","131.243.1.10","4578","9468"
"2.229.105.87","131.243.1.10","4988","9840"
"20.105.218.163","131.243.2.12","49508","3984"
"20.107.147.116","131.243.1.10","1625","5902"
"200.228.167.27","203.174.5.11","1487","1749"
"200.51.200.214","131.243.1.10","1037","4286"
"201.225.143.185","131.243.1.10","737","3892"
"202.237.90.170","242.70.74.100","1371","1508"
"202.36.95.133","131.243.1.10","663","3729"
"203.139.202.26","131.243.2.12","1165","2865"
"203.248.105.180","131.243.1.10","7126","13581"
"204.120.20.220","128.3.12.44","2221","2193"
"204.212.42.153","128.3.12.44","784","1137"
"204.88.125.120","131.243.1.10","975","3977"
"205.155.78.239","128.3.12.44","5279","3177"
"205.32.207.220","131.243.1.10","3798","9651"
"206.175.122.94","128.3.12.44","3534","3396"
"206.4.6.146","131.243.1.10","974","3362"
"207.219.89.57","131.243.1.10","1878","5323"
"207.239.30.114","131.243.1.10","1147","4675"
"207.249.252.183","131.243.1.10","1076","4357"
"208.220.212.205","128.3.12.44","987","1228"
"208.220.212.205","131.243.1.10","1476","4642"
"208.27.44.72","131.243.1.10","799","3897"
"209.187.104.128","131.243.1.10","1477","5196"
"209.233.102.212","131.243.1.10","1246","4587"
"209.49.122.50","131.243.1.10","1906","5319"
"209.97.35.198","131.243.1.10","1113","4291"
"21.136.179.14","128.3.28.48","24935","28986"
"21.155.187.213","131.243.1.10","1109","4602"
"21.242.196.102","131.243.1.10","1934","6713"
"21.97.107.165","131.243.1.10","1341","4870"
"211.57.73.255","131.243.2.12","49306","3396"
"212.180.60.96","131.243.2.12","18163","2308"
"212.235.79.222","131.243.1.10","1636","4847"
"212.7.211.138","131.243.1.10","1364","3693"
"213.17.189.200","131.243.1.10","781","3811"
"213.230.14.206","131.243.1.10","1895","4758"
"213.24.52.183","128.3.12.44","1571","2103"
"213.30.184.86","131.243.1.10","2115","6623"
"213.76.95.241","131.243.2.12","9254","2308"
"214.153.191.211","131.243.1.10","808","3937"
"214.53.92.97","131.243.1.10","3350","8777"
"215.156.189.72","131.243.1.10","2946","5095"
"216.43.247.103","131.243.1.10","6129","13185"
"217.148.52.180","131.243.2.12","85698","2908"
"217.148.52.180","203.174.5.11","86238","1372"
"217.207.38.45","131.243.1.10","1125","4537"
"217.211.132.163","131.243.1.10","805","3866"
"218.157.251.51","128.3.12.44","1541","2313"
"218.65.255.185","131.243.1.10","5670","12504"
"219.119.242.226","131.243.1.10","921","3856"
"219.177.120.106","131.243.1.10","2488","7681"
"219.218.2.234","131.243.1.10","4429","10172"
"22.129.74.56","131.243.1.10","913","4027"
"220.122.224.118","131.243.1.10","1716","5811"
"220.132.103.54","131.243.1.10","1528","4809"
"221.118.242.64","109.103.64.27","1035","1843"
"221.118.242.64","123.47.104.102","311","314"
"221.118.242.64","189.246.241.212","500","285"
"221.118.242.64","44.76.136.98","240","202"
"221.118.242.64","48.248.244.161","311","275"
"221.165.172.33","86.110.60.6","945","1415"
"221.213.13.56","78.56.58.89","737","1049"
"221.44.70.167","128.3.28.48","9504","4993"
"221.48.69.3","131.243.1.10","873","3953"
"221.55.239.170","131.243.2.12","17192","2254"
"222.186.198.110","131.243.2.12","11250","2471"
"222.38.6.47","210.156.123.248","365","368"
"222.38.6.47","44.76.136.98","348","484"
"223.151.205.58","131.243.1.10","3331","8797"
"223.218.252.131","131.243.1.10","1410","4920"
"224.163.220.10","131.243.1.10","749","3857"
"224.187.175.90","131.243.1.10","761","3929"
"225.100.60.13","131.243.1.10","3742","9475"
"226.81.143.72","131.243.1.10","1830","5602"
"227.144.164.216","131.243.2.12","171829","2800"
"227.195.236.76","131.243.1.10","1862","4566"
"228.108.41.13","131.243.1.10","1034","4285"
"228.119.175.121","131.243.1.10","4221","10595"
"228.54.193.254","131.243.1.10","863","3784"
"229.226.233.186","131.243.1.10","3214","8502"
"229.246.115.157","131.243.1.10","963","3970"
"23.143.246.200","131.243.3.49","5232","2542"
