"Connection Duration","Probability"
"187","0.509499"
"188","0.509499"
"189","0.511226"
"190","0.511226"
"191","0.511226"
"192","0.511226"
"193","0.512953"
"194","0.512953"
"195","0.512953"
"196","0.512953"
"197","0.512953"
"198","0.512953"
"199","0.512953"
"200","0.512953"
"201","0.512953"
"202","0.512953"
"203","0.512953"
"204","0.512953"
"205","0.51468"
"206","0.51468"
"207","0.51468"
"208","0.51468"
"209","0.51468"
"210","0.51468"
"211","0.51468"
"212","0.516408"
"213","0.516408"
"214","0.516408"
"215","0.516408"
"216","0.516408"
"217","0.516408"
"218","0.516408"
"219","0.516408"
"220","0.516408"
"221","0.516408"
"222","0.516408"
"223","0.516408"
"224","0.518135"
"225","0.518135"
"226","0.519862"
"227","0.519862"
"228","0.519862"
"229","0.519862"
"230","0.519862"
"231","0.519862"
"232","0.521589"
"233","0.521589"
"234","0.521589"
"235","0.521589"
"236","0.521589"
"237","0.521589"
"238","0.521589"
"239","0.523316"
"240","0.523316"
"241","0.523316"
"242","0.523316"
"243","0.523316"
"244","0.523316"
"245","0.525043"
"246","0.525043"
"247","0.525043"
"248","0.52677"
"249","0.528497"
"250","0.528497"
"251","0.528497"
"252","0.528497"
"253","0.528497"
"254","0.528497"
"255","0.528497"
"256","0.528497"
"257","0.528497"
"258","0.528497"
"259","0.528497"
"260","0.528497"
"261","0.528497"
"262","0.528497"
"263","0.528497"
"264","0.528497"
"265","0.528497"
"266","0.528497"
"267","0.530225"
"268","0.530225"
"269","0.530225"
"270","0.530225"
"271","0.530225"
"272","0.530225"
"273","0.530225"
"274","0.530225"
"275","0.530225"
"276","0.530225"
"277","0.530225"
"278","0.530225"
"279","0.530225"
"280","0.530225"
"281","0.530225"
"282","0.530225"
"283","0.531952"
"284","0.533679"
"285","0.533679"
"286","0.533679"
"287","0.533679"
"288","0.533679"
"289","0.533679"
"290","0.535406"
"291","0.535406"
"292","0.535406"
"293","0.535406"
"294","0.535406"
"295","0.535406"
"296","0.535406"
"297","0.535406"
"298","0.535406"
"299","0.537133"
"300","0.537133"
"301","0.53886"
"302","0.55095"
"303","0.559585"
"304","0.566494"
"305","0.573402"
"306","0.57513"
"307","0.576857"
"308","0.583765"
"309","0.588946"
"310","0.590674"
"311","0.590674"
"312","0.594128"
"313","0.595855"
"314","0.595855"
"315","0.595855"
"316","0.597582"
"317","0.597582"
"318","0.597582"
"319","0.597582"
"320","0.602763"
"321","0.602763"
"322","0.602763"
"323","0.602763"
"324","0.604491"
"325","0.604491"
"326","0.604491"
"327","0.604491"
"328","0.604491"
"329","0.604491"
"330","0.604491"
"331","0.606218"
"332","0.606218"
"333","0.606218"
"334","0.606218"
"335","0.611399"
"336","0.611399"
"337","0.613126"
"338","0.613126"
"339","0.614853"
"340","0.614853"
"341","0.614853"
"342","0.61658"
"343","0.61658"
"344","0.61658"
"345","0.618307"
"346","0.618307"
"347","0.618307"
"348","0.618307"
"349","0.618307"
"350","0.618307"
"351","0.620035"
"352","0.620035"
"353","0.621762"
"354","0.621762"
"355","0.621762"
"356","0.621762"
"357","0.623489"
"358","0.625216"
